Date,Bar,Groceries,Restaurant,Misc,Gas,Planned
2019-12-14,0.0,0.0,18.389999389648438,0.0,0.0,0.0
2019-12-13,0.0,0.0,0.0,16.079999923706055,44.84000015258789,729.469970703125
2019-12-12,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-11,0.0,0.0,0.0,13.619999885559082,0.0,0.0
2019-12-10,0.0,0.0,0.0,0.0,0.0,201.08999633789062
2019-12-09,0.0,0.0,0.0,111.04000854492188,0.0,424.66998291015625
2019-12-08,0.0,22.389999389648438,0.0,183.33999633789062,23.950000762939453,0.0
2019-12-07,0.0,0.0,0.0,0.0,37.060001373291016,0.0
2019-12-06,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-05,0.0,16.209999084472656,32.630001068115234,0.0,0.0,0.0
2019-12-04,0.0,0.0,18.369998931884766,10.729999542236328,0.0,0.0
2019-12-03,0.0,0.0,11.6899995803833,16.690000534057617,0.0,0.0
2019-12-02,0.0,0.0,37.459999084472656,40.209999084472656,33.65999984741211,210.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-29,0.0,0.0,39.77000045776367,80.0,0.0,0.0
2019-11-28,0.0,17.690000534057617,0.0,0.0,0.0,0.0
2019-11-27,0.0,58.45000076293945,0.0,0.0,39.720001220703125,0.0
2019-11-26,0.0,6.679999828338623,0.0,31.309999465942383,0.0,249.47999572753906
2019-11-25,0.0,0.0,9.75,39.77000045776367,0.0,0.0
2019-11-24,0.0,65.31999969482422,0.0,83.52999877929688,0.0,0.0
2019-11-23,0.0,37.40999984741211,0.0,0.0,31.299999237060547,0.0
2019-11-22,0.0,4.099999904632568,18.3799991607666,107.31999969482422,0.0,0.0
2019-11-21,0.0,0.0,0.0,56.9900016784668,36.900001525878906,0.0
2019-11-20,0.0,3.0899999141693115,0.0,29.619998931884766,0.0,0.0
2019-11-19,0.0,0.0,0.0,256.1700134277344,0.0,0.0
2019-11-18,0.0,32.38999938964844,17.920000076293945,340.4800109863281,0.0,0.0
2019-11-17,0.0,4.119999885559082,34.11000061035156,183.00999450683594,46.23999786376953,0.0
2019-11-16,18.350000381469727,14.5,23.8700008392334,0.0,29.75,0.0
2019-11-15,0.0,0.0,9.350000381469727,77.02999877929688,68.22000122070312,0.0
2019-11-14,0.0,0.0,0.0,16.690000534057617,0.0,0.0
2019-11-13,0.0,20.229999542236328,27.8799991607666,60.0,0.0,0.0
2019-11-12,0.0,2.119999885559082,142.85000610351562,60.0,0.0,0.0
